,features,coef
0,mean_RSS_Q1,-0.008880458776417199
1,imm,0.03513955799753764
2,income_mother,0.010227552569468938
3,income_father,0.006005603140393444
4,mean_SWLS_Q1,-0.012686991023762573
5,mean_RSS_Q3,-0.006964475531778032
6,mean_SWLS_Q3,-0.03914592116149288
7,mean_gse,0.00785720590608187
8,mean_anger,-0.0169412752178363
9,mean_RSES,0.012729225707382915
10,mean_scl_Q1,0.08319173784784134
11,mean_scl_Q3,0.13946181610863123
12,LTH_of_MD_agg,-0.010662111484501833
13,ss_bin,-0.02345010774062136
14,edu_bin,-0.005139200057855821
15,abuse_bin,0.00051646311135568
16,ALE_bin_Q3,0.006091271076214627
