principal_comps,coef
0.0,0.032525754443796406
1.0,-0.005068377654550179
2.0,0.0032149990772231806
3.0,-0.020805815558405973
4.0,0.016409101229438054
5.0,-0.0014119955386472103
6.0,-0.0079432201349289
7.0,0.007896858531259675
8.0,-0.01304303851186544
9.0,0.005333701760078731
10.0,0.016778082752272275
11.0,-0.005555452142252825
12.0,-0.010647991362947508
13.0,0.0035605945222478216
14.0,0.005788314628401028
15.0,0.017764209590799038
16.0,-0.005501210642203363
17.0,0.010108562771337034
18.0,0.010479533673933504
19.0,-0.011310630055000288
20.0,0.008744401420864818
21.0,-0.003833073094347591
22.0,-0.004948040293441768
23.0,-0.013876215908484351
24.0,-0.0034920633001451207
25.0,-0.008937036582637857
26.0,-0.004333627335322437
27.0,-0.004238587001578168
28.0,-0.005104196658862875
29.0,-0.004465354736552748
30.0,0.010158123020674046
31.0,-0.007594804459845776
32.0,-0.002608990145367849
33.0,-0.0018079005049001444
34.0,0.006653760945649273
35.0,0.0030234997292736057
36.0,-0.00436365947714561
37.0,-0.0018341373995662846
38.0,0.008146849355152828
39.0,0.00839528789771652
40.0,0.021345645534862123
41.0,-0.0015272138012778136
42.0,0.001246593091913907
43.0,-0.00025854596600421195
44.0,0.0060706020947520565
45.0,0.006593469078573449
46.0,0.001800372785316773
47.0,-0.013930523457254047
48.0,-0.005690654068872908
49.0,-0.003938637234695091
50.0,-0.008818790882824614
51.0,0.005626516537027521
52.0,0.011569053886806204
53.0,0.004303810318126064
54.0,0.006826036857130675
55.0,-0.013091645720419064
56.0,0.008672049518940902
57.0,0.001315232334985013
58.0,-0.008754400818500126
59.0,-0.010813315535064387
60.0,0.004884551461941743
61.0,-0.007843484264420704
62.0,-0.004747332476348521
63.0,-0.0020375265514855348
64.0,-0.005808332450014491
65.0,0.0018694262544708753
66.0,0.0035121279416859847
67.0,-0.0003178772953415372
68.0,0.003808011280875421
69.0,-0.0053429749010957
70.0,0.013239108119925009
71.0,-0.011535626111916684
72.0,0.0049457595412944555
73.0,-0.0015698064435003666
74.0,-0.0028628012333303393
75.0,-0.006087690063533635
76.0,-0.0017916712648384644
77.0,0.004645413094689042
78.0,0.0015185728736577045
79.0,-0.001403596527251995
80.0,0.012674138679993365
81.0,0.012491105811847607
82.0,-0.007150273173402602
83.0,-0.0080560696717384
84.0,-0.01868961196205346
85.0,0.0015483925847907982
86.0,0.0053182414507908695
87.0,0.013447124418594745
88.0,-0.01317777709962157
89.0,0.0025088483172807296
90.0,0.0005786371600256398
91.0,0.012277616698149203
92.0,0.005828211651267155
93.0,0.011125625683614158
94.0,-0.002568755845227183
95.0,0.005337801750035825
96.0,0.0014156600160730379
97.0,0.004758235367051498
98.0,-0.0035628345421718373
99.0,0.004228883969398512
100.0,-0.003201858666051584
