,features,coef
0,mean_RSS_Q1,-0.00845510695692616
1,imm,0.023996199692482317
2,income_mother,0.008237251770129836
3,income_father,-0.0035354156489350677
4,mean_SWLS_Q1,-0.031549349628021015
5,mean_RSS_Q3,0.0015892657188896452
6,mean_SWLS_Q3,-0.03837195278554923
7,mean_gse,0.020624959884087992
8,mean_anger,-0.013317765140045956
9,mean_RSES,0.002520800244970521
10,mean_scl_Q1,0.05362555413840543
11,mean_scl_Q3,0.10663491523158511
12,LTH_of_MD_agg,-0.026158387428408047
13,ss_bin,-0.02675423077216746
14,edu_bin,-0.001356080819665202
15,abuse_bin,-0.003124383759267469
16,ALE_bin_Q3,0.007541606728587095
