principal_comps,coef
0,9.137991091255055
37,6.9135847467640374
12,5.200663861101633
4,4.781344857091599
19,3.813259571930294
17,3.7765283855475964
15,3.48323282832203
13,3.388817521024142
53,3.3355939073168064
50,2.7902088020347935
80,2.5591742897326695
55,2.43040502033536
3,2.347304155401977
9,2.3204742260475824
34,2.088050296230825
43,2.068840933561787
73,1.9312143601882614
16,1.915347418300052
58,1.8020995847935952
117,1.7542980907819257
23,1.6470918235226417
8,1.64500315427598
162,1.6063348011052965
71,1.6012297761470256
38,1.5587319202453047
218,1.464481878018851
47,1.4453225044114661
83,1.4372404038945727
42,1.4209136348442806
144,1.4092741133493834
74,1.389338854917874
52,1.3617349214137022
22,1.361524308482207
21,1.3349422754127127
195,1.3173291891111882
194,1.3051716207558697
1,1.2924802559232016
11,1.2881068365749584
86,1.2586751619625793
35,1.2535691257537267
87,1.239483643286775
107,1.2368974712035585
137,1.2346575781729507
66,1.2340820144427098
154,1.2283295295958523
60,1.2211484068117207
168,1.214267097918645
82,1.208107590696298
49,1.2059374529439084
161,1.197011965096691
25,1.1897952211553442
113,1.1861406246617439
30,1.1844393994845017
44,1.1730157375636456
70,1.1727451993470415
20,1.171992379773275
141,1.1683746199683285
143,1.160477157692588
76,1.1587709533402222
63,1.1580874216005113
163,1.1508366921449662
51,1.1484401582108368
27,1.1461924268730301
108,1.145135342452795
158,1.1430354187911047
89,1.1407620092970856
135,1.1386778335058565
85,1.1331496989977066
64,1.1328650727137777
105,1.13129023589219
32,1.1304013554191024
98,1.118309314434255
40,1.1163529111394124
190,1.1159364817441029
139,1.1149950932667574
192,1.1114557295583523
183,1.1109438003039354
170,1.1060136499561295
90,1.101293419298566
29,1.0960817405901064
125,1.093658594480371
140,1.0895686677642382
95,1.0887781634497604
24,1.08749836769039
213,1.086675347625921
150,1.085732022337438
173,1.0798332657139755
174,1.0757824312644635
222,1.0740578132506133
75,1.0669181109801418
45,1.065529479839126
72,1.0649240086173635
221,1.0622733738571208
248,1.0605340286408425
148,1.0582926523736047
33,1.057511827088244
28,1.05665833558025
240,1.0547726620836824
62,1.0538337470878762
65,1.0496663441977183
259,1.0489220310504126
165,1.0473048465093875
57,1.0467827636719622
138,1.046525476302296
238,1.0463833407454488
230,1.044555817047236
278,1.0422841623278705
258,1.039748423051537
69,1.037926814364431
2,1.0356486670393044
110,1.0353652543812089
242,1.0323904799502672
223,1.0321620887429468
241,1.031537209271958
41,1.0313687041711803
59,1.0311117059095825
18,1.024177107859504
7,1.023283720042754
217,1.0229429984205474
211,1.0159888194102071
120,1.015861948523556
204,1.0147743153843367
26,1.0115610247597036
236,1.009615904802843
31,1.0095331292284377
48,1.0084562981599128
6,1.0081803226731583
210,1.0080802692608675
123,1.0072585175323314
81,1.0067486920762905
184,1.0056329075771184
151,1.0052647660555358
207,1.0036800597081184
216,1.0012994915528934
124,1.0008385552709904
266,1.000119732443967
78,0.9988836946770752
39,0.9988374095280982
287,0.997040756874568
122,0.9968961047679339
68,0.9965509239530386
156,0.9961124266102253
111,0.995076333958694
134,0.9949219262475856
115,0.9944949741704611
234,0.9941981518160908
109,0.9919064513178613
285,0.9913159481819853
181,0.991244426590579
276,0.9909001500647242
226,0.9898238758023004
182,0.9878486324504397
130,0.9871429403714569
116,0.9859739909995686
180,0.9859108955202192
272,0.9853466596177957
106,0.984633363364665
164,0.9846038363672189
56,0.9836967499463226
279,0.9836158759900527
214,0.9832676222020915
212,0.9827030150941417
205,0.9809542299978544
209,0.980768327875188
196,0.9802889607015071
84,0.980215253879122
99,0.9786247780440521
249,0.9774575729521338
191,0.9772087005124537
10,0.9758489809556093
67,0.9753461176671032
101,0.9750724464738227
97,0.9700041568791468
261,0.966214649446074
268,0.9647582811054795
92,0.9646930282490467
103,0.9632889960779158
167,0.9626809358531782
118,0.9626399997308683
104,0.9625370162749766
142,0.9616423328353944
152,0.9612938938278343
187,0.9612921038687936
127,0.9601951210302284
166,0.9598229676714267
260,0.9597608286251091
229,0.959334075315769
179,0.9591709590548493
153,0.9582973861959234
14,0.9579543638339323
132,0.9574369221019687
286,0.9569819727018211
133,0.9544543876950875
244,0.9538426236548134
270,0.9535271345411344
228,0.9533560271035388
281,0.9532935336000005
267,0.9526272135123872
252,0.9525033615184614
250,0.9521319539426756
54,0.9518774696969436
219,0.9496930412462562
177,0.9496457163288218
227,0.9494136131457142
61,0.9486315981362425
231,0.9483449830083343
114,0.9477928496672063
175,0.947210214503913
176,0.9459928944908135
119,0.9453812107612212
88,0.9427759798152903
282,0.9423319245660401
157,0.9416721418137919
251,0.9392381195059573
284,0.9390292451320467
79,0.9378448922019647
253,0.9378380965592775
93,0.9374201641268555
145,0.9365466630028666
5,0.9358850079971449
201,0.9348084593205119
147,0.9345611396461206
243,0.9338974573980808
275,0.933818112958654
254,0.9298537948532691
46,0.9291379152426278
215,0.9289094038396463
102,0.9284265472969133
233,0.9281108168428334
129,0.9246716350586491
149,0.9236436186161806
128,0.923085449503524
91,0.9222279760894232
246,0.9219642518798982
269,0.9207117383106173
257,0.9204527786744918
160,0.9202026403189855
235,0.9189085240930223
198,0.918663751936292
264,0.9169276756180136
273,0.9159975437585488
172,0.915662850272204
256,0.9154624867423203
265,0.9154367086490783
232,0.9146459965542226
255,0.9141851885323709
77,0.9135507938733077
36,0.9116306693870462
200,0.9093526210952044
188,0.9092019710321773
185,0.9091642967904463
146,0.9086220987137681
159,0.9075685091516105
131,0.9035834048375768
283,0.9035374123502213
225,0.9019942977166268
136,0.9012145383306168
94,0.9003419768774011
277,0.8995066433201995
245,0.8983188219474136
121,0.898063195414848
169,0.8977251376034413
189,0.8971650454532653
237,0.8956743860120683
202,0.8941646985621048
247,0.89405146312529
100,0.8939587154206223
186,0.8913835151994399
208,0.8906011845220031
126,0.8902644441141654
155,0.8875604134339481
280,0.8839874455243378
239,0.8836653761477913
199,0.8834674556591336
112,0.8781748529342527
262,0.8767621777210074
206,0.8763210672181178
193,0.8746102035865918
197,0.8730588053560897
171,0.8723136191862001
220,0.870746633682871
263,0.8687313459942806
203,0.8648057233630267
224,0.8590730476293709
274,0.8534964083469334
96,0.852757421646698
178,0.8398678118683522
271,0.8395070753866098
