,score
AA1473,83.35939482746642
AA1480,81.59555699851896
AA1484,65.63433214851729
AA1472,51.24475189924536
AA1482,34.885955040856956
AA1469,29.767352667786213
CC957,17.767151629725582
AA1151,15.706207744853764
AA1483,15.13042547080001
CC961,12.398443563792195
CC1168,12.318087113545237
AA162,11.232194638368275
AA1465,9.847118657697067
CC1237,8.582570980854344
AA1485,8.46292324381719
AA1553,8.14542080522117
AA1463,7.944456072751297
AA1559,7.644770435428571
CC962,7.1670445346818585
AA1554,6.945926966983337
CC1169,6.722582456587497
CC1171,5.985523077518751
AA1562,5.95528439342857
CC1172,5.92453502417907
CC1162,5.802680159871933
CC956,5.739052143370369
AA1481,5.684002647491177
CC966,4.284898756666666
AA1455,4.1596415021714295
AA1560,4.1571791638095235
CC965,3.6644039637464703
CC970,3.4792271109202737
CC960,3.4187970078100003
CC918,3.2812049054372086
CC1271,3.043815751296766
CC969,3.03420200688129
AA1152,2.929141678479412
AA1471,2.9121206905499997
CC1209,2.825278261167008
CC1250,2.824976950292092
CC919,2.780749390487368
CC1238,2.6711344068853653
AA110,2.6625704970602353
CC1267,2.588358397666667
CC1278,2.5633445609261813
AA1153,2.556921954698077
CC954,2.5553407420050687
CC1180,2.418360786109166
CC953,2.3765551749060605
CC950,2.3657309311697676
CC967,2.2707220223134486
CC1277,2.2646644157575744
CC1259,2.1865136987636364
AA1558,2.156589855417567
CC1202,2.1127466485474455
CC1170,2.075773467
AA1135,2.073555467083333
AA1563,2.073053997666667
CC1067,2.065771314483871
CC915,2.055171974560543
AA1470,2.0468247377960993
CC958,1.992474538657576
AA1557,1.9486216190010714
CC1158,1.8852334644183324
CC1196,1.8684956674654403
AA1298,1.8452963802976186
AA100,1.8223613497536186
CC1161,1.8013174730398875
CC949,1.7873674531891892
CC959,1.7630573522999993
CC964,1.7543935186363633
AA1454,1.7305655049040616
AA101,1.684763055056051
CC1159,1.6736794061610394
AA1294,1.6645616085162256
AA1487,1.6511547118555325
AA1140,1.62362000823
CC952,1.622411654461365
AA1321,1.622399984027027
CC1244,1.5066595651773924
AA1191,1.4773464392911535
CC1072,1.46199079265
CC909,1.4600155311379999
AA1189,1.4166314251055558
AA1184,1.4101447699343872
AA1326,1.4036618174687499
AA1327,1.400105615453247
AA1300,1.3996340659080893
AA133,1.3955155439062505
AA159,1.3950038006211005
AA1303,1.389750276970581
CC945,1.3534814653024168
AA1138,1.3167724605
AA1570,1.2903633807963315
AA1548,1.2889019094149994
CC1174,1.286381329993956
CC968,1.2848425995035713
AA1477,1.276007763734616
AA1301,1.2715065295494625
AA1528,1.2569363234503637
AA1474,1.2510792051861843
AA1550,1.2473648399297863
CC1204,1.238356002664804
AA152,1.2344662297999998
AA1567,1.2331157453657144
AA1328,1.231756828850943
AA1467,1.2292154631069698
AA154,1.2058813635083094
AA1150,1.2036295999842104
AA87,1.1960782172903135
AA1134,1.194713666140816
AA1319,1.1892554818192302
AA1297,1.1789507028714286
CC1207,1.1773850961254781
AA116,1.175077255372093
AA1555,1.1582673584838097
AA137,1.1531476181666667
CC1227,1.1435441618293942
CC925,1.1433212098170176
CC1261,1.1370857579473683
AA1468,1.1364476979779414
AA1194,1.1088709839750885
AA1452,1.106317513537576
AA1296,1.1003436239394735
AA1127,1.0944845038351856
CC928,1.0883155487541198
CC922,1.0822944206552576
CC1264,1.0814483694789478
CC929,1.0769239463855043
CC1274,1.074679758894737
AA109,1.0710151557219045
AA102,1.0516150424443482
AA1132,1.048087174821875
AA1460,1.0468609860826086
AA149,1.0384861923846154
CC1198,1.029514616062464
AA1148,1.0289175824497403
CC935,1.0284557313116216
AA98,1.0251524118638304
AA104,1.0236862899317911
AA1166,1.0233399170116395
AA138,1.023326631875
AA1466,1.0197539862566676
AA140,1.0126133298571427
AA1536,1.0122779217532376
CC1228,1.0104561213945735
CC1236,1.0057295106988233
AA1530,1.0045027221576959
AA160,1.0029607721918214
CC1167,1.0016903890430235
AA1302,0.999219977151755
CC911,0.9991504981773891
CC1163,0.9973359167727274
AA1534,0.9939405572190579
AA1183,0.9865894386666066
AA161,0.9847021680323147
CC1177,0.98064093709551
CC1157,0.979381054502307
AA108,0.9743114792110993
AA142,0.9639605391666667
AA1193,0.9562779397988546
AA103,0.9542746337858464
AA1164,0.9520598980303031
CC1173,0.9511787538677182
AA1539,0.9466808621990913
CC1176,0.9413887429221621
AA1546,0.9369542218222224
CC1197,0.9331754315193784
CC1164,0.9284383844934269
AA97,0.9225977644346756
AA114,0.921612824108511
AA89,0.9167118097338556
CC1193,0.9145518939765951
CC1166,0.9136113112489564
AA148,0.9126671976
CC1240,0.908352016681416
AA134,0.899936943875
CC1200,0.8983216923052152
CC941,0.898091173977011
AA1315,0.8876648037447589
CC1074,0.88480228407875
CC1195,0.8827680692994649
AA143,0.8788863722500001
CC1254,0.8788744593333334
CC1215,0.8758779835458477
AA1137,0.8753652597923076
CC944,0.8736603110657893
AA1564,0.8722026261250001
CC1272,0.8706136899823531
CC1175,0.87000901092452
AA132,0.869219303
AA1532,0.8683377766606935
AA95,0.8682461265380881
AA1131,0.8679627913684211
AA1143,0.865364508468684
CC1192,0.8651514049218483
AA1538,0.8633844168026721
CC946,0.8622133949134454
AA157,0.8615373052529292
AA158,0.860454922190953
AA1139,0.8564626349400001
AA127,0.8538856238214286
CC1225,0.8536581412252527
