,score
AA1480,137.5179793932622
AA1473,90.29406803747257
AA1484,52.58479097433501
AA1482,37.52456371047999
AA1483,35.856980965288145
AA1472,27.637250072299995
AA1151,16.072064162311346
AA1553,16.009091790104055
CC957,14.722455478591836
AA162,14.362120354332468
AA1469,13.153470515918038
AA1481,12.21079216137027
AA1559,9.3816893003
CC961,8.893305334531105
CC956,8.801601912170966
CC1172,8.479260666846873
CC1171,7.6422513160930245
AA1565,7.597843794
CC1168,7.029416245807144
CC1169,6.239230794555001
AA1485,5.199257230314486
CC965,5.002089489757144
CC962,4.578693286282758
CC1178,4.53363506619009
CC964,4.313270479489286
CC1162,4.273505323185715
CC966,4.231032586647058
AA1294,4.158657655925001
CC1250,4.135021056170001
AA1188,4.068601724441297
CC1072,3.878088359525
CC953,3.761183846805609
AA1554,3.5668020350297023
AA1465,3.533965300801739
AA1467,3.420552406835714
CC1204,3.3587155159042026
AA1560,3.181660455277778
AA1463,3.063242697154142
AA100,3.009456427009204
CC969,2.9195956820906765
AA1139,2.8526864412692303
AA1297,2.7656389701857145
CC958,2.741540713105263
CC970,2.682039612541802
CC1074,2.5374145121500002
AA1293,2.5370913773876467
CC1209,2.4976411702225803
AA102,2.479391551998146
AA1536,2.299175645060886
AA1454,2.2924856768194526
AA1135,2.286013853225001
CC1202,2.2856132212816918
CC954,2.1956755846279052
AA1300,2.186309368602297
AA1153,2.1857816949437505
CC1161,2.0902890925481827
AA1140,2.017759118618519
AA1134,1.9912341251274992
CC1067,1.9800216812857143
AA1550,1.9757339414265032
AA1487,1.9253134573204644
CC949,1.902528549003572
AA1141,1.792264343881818
AA1298,1.7302128684227263
AA1452,1.7186340855676465
CC1225,1.6743304124642797
AA140,1.66821289
CC1227,1.6625269521344102
AA1566,1.6167221067500002
AA1152,1.602518359732558
CC948,1.5895147032633334
AA1552,1.5778091337715863
AA1470,1.5574949370836537
AA1328,1.5298137066046005
AA1455,1.5111796244404259
AA1562,1.507321953272727
AA1477,1.4755954039291088
CC1245,1.4675870856666666
AA104,1.4660326729323376
AA1556,1.4325338776842103
CC1174,1.4267097643543598
CC921,1.4130193738219996
CC1237,1.4070561094272727
AA1555,1.3826174961503992
CC935,1.3813231152797023
AA1173,1.3807484480817536
AA1460,1.3802848271642854
AA161,1.349438711508658
CC1248,1.3398428190828127
AA1189,1.3337041519734698
AA1136,1.3322359815097227
CC1163,1.3145503752139998
AA1541,1.3014599857289948
AA103,1.292564370898265
CC1158,1.2920905081949596
AA1557,1.2840302895571434
CC941,1.2485210234377775
AA1184,1.2384977102655677
CC945,1.2297850874350325
CC1160,1.2265494620973796
AA98,1.1816053061801497
AA1471,1.1719211111770687
AA1539,1.165536439689045
CC1197,1.1551193717406951
AA1127,1.154241148473585
AA157,1.14854116654264
AA1529,1.138827301555044
CC1278,1.1371150906208336
CC937,1.1218418313962588
AA101,1.1132501865212199
CC1196,1.1055573169601063
AA1125,1.1041954187863225
CC1159,1.101872123481034
AA1178,1.0962321016150633
AA1157,1.086223758651294
CC1256,1.082172017418182
CC1157,1.0652484785728145
AA1578,1.060967715415479
AA1532,1.0606849342761666
