,score
CC1193,1.5928993364843738
AA95,1.557325190248485
AA162,1.553166482914728
CC1176,1.5459252763212123
CC1237,1.5416590351242605
CC1068,1.532377883493724
mean_scl_Q1,1.5243262927720589
CC1181,1.5139654138365854
AA118,1.5127952319081224
AA1177,1.4882781467831325
CC1213,1.4845086999127914
CC912,1.4843112623529406
AA1527,1.483975529861728
AA1305,1.483310124570423
AA1545,1.4747741289183667
AA1464,1.473384159673575
CC1160,1.4725812383364234
CC914,1.470081271574713
CC1192,1.4697937105522472
AA112,1.4684325811884051
AA1578,1.467315371153333
CC1071,1.4672842916398379
AA1174,1.466700083074381
AA1547,1.4657712687478266
AA157,1.4607036230317247
AA1488,1.4601029065534152
CC1225,1.4575448024347826
CC1236,1.4551963711318185
AA158,1.4515287697957662
AA152,1.4506858528771929
CC1165,1.4506067640153848
CC928,1.4457704649691494
AA1301,1.4449957136798737
CC1175,1.4448057123129252
AA1316,1.441387917371154
AA148,1.440158041789231
CC1233,1.439195777985185
AA110,1.4391088023790322
AA1186,1.4384918478129503
CC1196,1.4364213751907506
AA1160,1.4358894829380948
AA1487,1.4356291974852067
AA1472,1.4355208114955889
AA1304,1.4347336387545975
AA1478,1.434349302579208
AA1529,1.4333693111696433
AA97,1.4324836600254236
AA130,1.43169835099122
AA161,1.4310112329905655
AA1535,1.4305512439674843
AA106,1.4298867059374436
AA1534,1.4245337233779873
AA1317,1.4234866983047614
AA121,1.422884605651515
AA1575,1.4227058321639448
CC926,1.4223935901357143
AA1560,1.4221597060234736
AA1541,1.4208910299560438
AA122,1.4191327574721804
AA102,1.4182994612448976
CC962,1.4162001555781252
CC1163,1.4149605507722585
CC1198,1.411918582786957
AA1570,1.4113983691517245
CC1197,1.4112771556164894
AA1559,1.4107802946913799
AA149,1.4099129134038464
AA85,1.4087197290417908
AA1530,1.4072191509700005
CC1224,1.407020726515384
AA1486,1.4065129926076918
AA1176,1.405446321625
AA140,1.4047969199930554
CC1156,1.4047661819984685
CC1177,1.4045475872072573
AA103,1.403905702003529
AA1179,1.3997112905588245
AA1126,1.3989988615897435
AA150,1.398988450410853
CC1241,1.3981187347018629
AA155,1.397894450909755
CC1159,1.39683067151037
AA109,1.3957782905803575
PREG_ID_2601,1.3950940608277778
CC945,1.3941814094410414
AA1563,1.3940040435300745
CC1210,1.3938000438370965
AA1566,1.393513659128448
CC953,1.393287138119085
AA101,1.3932545416792854
AA134,1.393056841016483
CC954,1.391348552742593
CC1161,1.3913399652198586
CC1199,1.3910681375629135
AA146,1.3910557373354546
AA131,1.3910121220300908
CC1166,1.3902054590227273
AA1477,1.3901097621322314
CC1157,1.390104919647059
AA1480,1.3894502527518802
AA1470,1.3894240737724135
AA1558,1.3893220817165346
CC911,1.3883443977279997
CC909,1.3867036034
AA1125,1.3866709804957984
AA1327,1.3855259055821914
AA1469,1.3850026972073168
CC1219,1.3848896560843376
CC929,1.3847623108052975
CC1226,1.3828725205130439
AA137,1.3822648486512203
AA1557,1.3819401318777784
AA1178,1.3792430616206899
AA153,1.3792328151536581
AA1564,1.378816834115044
CC1242,1.3776598685698627
CC925,1.3771630997144326
AA1528,1.3758150645399994
AA1181,1.3750487809677419
AA116,1.3746954805627727
AA1540,1.3735953343543699
AA1485,1.3735537208326238
CC1227,1.3729345765597007
AA93,1.3715905535779818
AA1302,1.37145186207
CC1158,1.3707303788950271
AA1166,1.3704645475334458
AA126,1.3694628295192055
AA151,1.3694429044644743
CC1069,1.3681156551113332
AA1538,1.3665680354561394
AA1562,1.365750881359231
AA128,1.3650279291944443
AA107,1.3646375639235664
AA113,1.36462482092236
AA127,1.3645310356802318
AA1468,1.3641035525702478
AA86,1.364018523712844
CC913,1.3624929808678896
CC969,1.3621711437681154
CC927,1.361629282330128
CC1070,1.3615471448936505
CC1243,1.3614778914659724
CC936,1.361471159312029
AA1466,1.360687508857241
AA160,1.3605890630084034
CC1179,1.360042754856
AA1569,1.359927479423077
CC970,1.356980380718471
AA133,1.356739821363248
AA142,1.3563330785904764
AA1194,1.3562800283082712
AA1482,1.3557164874415997
CC1240,1.3552575059860141
AA1576,1.3550542083090904
AA1193,1.3544389663016951
AA1546,1.3541799397715908
AA1539,1.3531425026241424
AA138,1.3505305567628203
CC1200,1.3496972429933776
AA1182,1.3492785047777778
AA125,1.3491422934669728
CC961,1.3487780636478877
AA1567,1.3487115774660374
AA1476,1.346179895420194
CC1228,1.3455467658976001
CC1214,1.3454488933503823
AA1453,1.3445045491191838
AA1479,1.343756918330645
CC1211,1.3437014323233083
CC1231,1.3426777243093015
AA1471,1.3425552027731957
AA1484,1.341779611171154
AA1452,1.3392147079102046
AA1556,1.3378517926382019
AA1537,1.3367064065569534
AA1565,1.3356969014268962
CC1072,1.3348394263809529
AA1536,1.3324611362452825
AA1572,1.3315013033431653
AA119,1.330822287185714
AA1571,1.330682328768657
AA1475,1.3300617872719296
AA1465,1.3295226277221308
AA124,1.3294789915897438
CC1067,1.3288690305084745
AA139,1.3288281601390481
CC1232,1.3280791564320986
mean_scl_Q3,1.328048260941176
CC1229,1.3255024880617237
CC923,1.3246233832067011
CC1215,1.323697260490229
AA1474,1.3232006065235669
AA1315,1.3214138568295652
AA143,1.3193098035111104
AA98,1.3192407430887414
CC1201,1.3183128353949047
AA136,1.3182108353396556
AA1124,1.3176459494172839
CC1238,1.317612735607747
AA144,1.3172204381510488
AA1561,1.316746840457664
AA1185,1.315021305892617
AA1532,1.3145564779593488
AA1184,1.314147087205358
AA88,1.3129281997002031
CC1217,1.3121313996250004
AA115,1.3104737710573764
AA1577,1.3102938528939199
AA100,1.3097207011067225
CC915,1.3096791304148154
CC1074,1.3084628498255315
CC946,1.3074368231869156
AA1568,1.3069222008856005
AA1462,1.3067340827196425
CC1178,1.3067329600648627
CC1234,1.3056674296690647
CC1239,1.3049334217658217
