features,coef
DD774,0.0
DD775,0.0032061654134335755
DD776,-0.004201341610953323
DD777,0.0009366436207078374
DD778,0.0045173921441404
DD779,-0.009435975458579375
DD800,-0.007267759323215574
DD801,-0.0038861470425733844
DD802,-0.0603440678065621
DD803,0.014943452373513232
DD804,-0.010416685163721785
DD784,0.009448848837785474
DD785,-0.018209962749196184
DD786,0.002770364214621424
DD787,-0.010052815964021604
DD788,-0.0017916528019322165
DD789,-0.009600866848514165
DD790,0.00018081133289225143
DD791,-0.010259503357417725
DD792,0.0006106461436610265
DD793,-0.008865611616628565
DD833,0.02663912290826701
DD834,-0.044622897721975016
DD835,-0.0072051925132083
DD836,0.004750189122086671
DD794,-0.005966164813667079
DD795,-0.0284455569374549
DD796,-0.01448985418978124
DD797,0.03269333391689767
DD798,0.02380552837332189
DD799,0.027691366315265576
DD805,0.028100357026667293
DD806,-0.023765833685770947
DD807,0.03138169356320114
DD808,-0.0
DD809,0.0
DD810,-0.0121354522040407
DD811,-0.004620082728534465
DD812,0.04075781149570038
DD813,0.0013689492123806378
DD814,0.021191838743922706
DD815,0.004447758295963048
DD816,0.02382105433285212
DD817,0.026278481342288027
DD818,-0.006493454745243779
DD819,0.011250243023162274
DD820,-0.0
DD821,-0.0012903250566039302
DD822,0.003048847858348612
DD823,0.007697144641194703
DD824,0.00885150835660473
DD826,0.05282137795449482
DD12,0.004140661115920017
DD13,-0.008743970566404042
DD14,0.0006056985999968817
DD15,-0.004572876900437482
DD16,-0.019380379265161195
DD17,0.012666827312405423
DD18,0.004708039201849059
DD20,-0.009256914993523803
DD21,0.032945414272752785
DD22,-0.0075322454430243775
DD23,-0.005589626194930908
DD24,-0.0055244554777365
DD25,-0.00598313949100808
DD26,-0.003875164148275659
DD27,-0.0014227357210084201
DD28,0.009728800563550086
DD30,0.0013207246293691281
DD33,0.004160254232159349
DD34,0.009339546872383099
DD35,-0.016100976837133078
DD36,0.023077131293865197
DD37,-0.006556220195405524
DD38,-0.008432857843018868
DD39,0.002404879763284897
DD40,-0.0029028146539072943
DD41,0.0
DD348,0.0029252618319548155
DD349,-0.0014641602018032973
DD350,0.004723242440585105
DD351,0.008870078127357404
DD352,0.03349700636268789
DD353,0.012779012262958342
DD354,0.02357866918994137
DD355,0.011452027803555736
DD356,0.009292268676424466
DD357,-0.008316735138409682
DD358,-0.0
DD359,-0.021591407569065014
DD360,-0.005204261211135733
DD361,-0.005851010367766288
DD362,-0.025914419277282393
DD363,0.026383794723089132
DD364,-0.02241769126077483
DD365,0.019613638525603046
DD366,-0.026648075542835714
DD367,-0.0013829655636244205
DD386,0.0
DD387,-0.004035793888820085
DD388,0.004191487320435678
DD389,0.0016623666503745363
DD390,-0.006018298692081682
DD391,0.010850450976032268
DD392,0.013711474476246991
DD393,0.010812007698476546
DD394,-0.0005142622665094282
DD395,-0.002201754854142194
DD674,-0.006801324495090804
DD676,-0.0046630901736942785
DD677,-0.005061730704438347
DD678,0.012388819492701016
DD679,0.000572980679292545
DD680,0.0
DD682,0.0038776784216010573
DD683,-0.003442971311430687
DD684,0.0015048108472020066
DD685,0.044399871331079886
DD686,-0.0
DD688,0.005883739209456721
DD689,-0.007518048883444763
DD690,0.004489620129825584
DD691,-0.011497250004362743
DD692,-0.00010112689167749239
DD693,-0.011559364159454166
DD694,0.004342392909170736
DD732,-0.010254398319476245
DD733,-0.016422681660111915
DD734,0.017972496022494643
DD735,-0.009734369408839302
DD736,0.01860334536606941
DD737,-0.0039338220838663175
DD738,-0.007319862279010424
DD739,-0.002497260205458974
DD740,0.008007620827678233
DD741,0.017249852478717395
DD742,0.0034871427931157267
DD743,-0.021312848054685536
DD1114,0.0
DD1115,0.0051236402670763
DD1116,0.017376450502270116
DD1117,-0.014188191711071664
DD1118,-0.0024638173305110327
DD1119,0.017893671138049662
DD744,0.001005433295749656
DD745,0.004982587442254431
