,features,coef
0,Unnamed: 0,-0.0014434561465473384
1,AA1572,-0.025915851116538012
2,AA1577,-0.005434557469716543
3,AA1579,0.023766201098397968
4,AA1532,-0.017407729933410658
5,AA1533,0.002500509588352946
6,AA1534,-0.010582891699563519
7,AA1535,-0.017374520983170466
8,AA1536,-0.01183479099108968
9,AA1537,0.02068951173004768
10,AA1538,-0.0020227107952369705
11,AA1539,0.00849671384657176
12,AA1540,0.028856975803201488
13,AA1541,-0.008672006744639783
14,AA1545,-0.008237028965605984
15,AA1124,-0.01587543319047007
16,AA1125,0.03846780678981042
17,AA1305,0.018385246455403393
18,AA1315,0.018731810999866337
19,AA1316,-0.005054271301943381
20,AA1527,0.01573908248265659
21,AA1528,-0.0463928841325883
22,AA1529,-0.0012457529723759967
23,AA1530,0.004251418385080927
24,AA1531,0.009681463816425678
25,CC1192,0.012342468319158039
26,CC1193,-0.013950117805273821
27,CC1194,-0.026559524899229775
28,CC1195,-0.0003774928485220635
29,CC1196,-0.012406149483607928
30,CC1197,0.030158801307774187
31,CC1198,-0.0050291836418471045
32,CC1199,-0.02124856308562689
33,CC1200,0.029396413259955012
34,CC1201,0.010789846257788569
35,CC1224,0.01904128557329838
36,CC1225,-0.017598925441417508
37,CC1226,0.007007319214465204
38,CC1227,-0.016272639776652414
39,CC1228,-0.008358190367901698
40,CC1251,0.046958588175533125
41,CC1252,0.017171779081197026
42,CC1253,0.025623667136379667
43,CC1258,-0.010100814274221586
44,CC1259,-0.0008039159242398293
45,CC1260,0.003180182680138449
46,CC1265,0.02641774819543785
47,CC1266,0.014387502758193584
48,CC1267,0.01584927974048109
49,CC1272,-0.04325908152976549
50,CC1273,-0.02593378530691153
51,CC1274,-0.029425090786911384
52,CC1216,-0.009901915481078827
53,CC1217,0.0013475897244800347
54,CC1218,0.015608341808942942
55,CC1219,-0.0036482340944081204
56,CC1220,0.010626630302252908
57,CC1213,-0.018453616776009537
58,CC1214,0.007960448300441056
59,CC1215,-0.005918264744918815
60,CC1229,0.0033401978120409133
61,CC1230,0.016414300179584385
62,CC1231,-0.01327982707306446
63,CC1232,-0.0017400963380445177
64,CC1233,-3.0499949042094715e-05
65,CC1235,-0.010528523393695227
66,CC1237,0.02453929719343059
67,CC1239,0.00229544565533897
68,CC1241,0.023239872333415918
69,CC1243,0.003772139537272779
70,CC1245,0.02130415092350005
71,CC1247,0.02121779426367147
72,AA1548,0.016182327352658645
73,AA1549,-0.008522385908803352
74,AA1550,0.026866992232846477
75,AA1551,0.010595557656947576
76,AA1552,0.011195366159808625
77,CC1202,-0.0022477100331625473
78,CC1203,0.00034270134641924566
79,CC1204,0.018756275057408116
80,CC1205,-0.0021526516550875122
81,CC1206,-0.009391987038956408
82,CC1207,0.021981662407401736
83,CC1208,0.02876281708301964
84,CC1209,0.0451256362639437
