,features,coef
0,DD774,0.0003033698713914094
1,DD775,0.005219440429307172
2,DD776,-0.006584850347891177
3,DD777,0.0010617180041798888
4,DD778,0.0045816510499845295
5,DD779,-0.009402614811858131
6,DD800,-0.008015459227195106
7,DD801,-0.005193591768776547
8,DD802,-0.061159977271009774
9,DD803,0.019020823764271652
10,DD804,-0.011173147978532015
11,DD784,0.011417933321201194
12,DD785,-0.02075803649742966
13,DD786,0.005599380213022627
14,DD787,-0.011979156099973128
15,DD788,-0.002519642655243619
16,DD789,-0.011904877442754678
17,DD790,0.004342813946289497
18,DD791,-0.012098781037316444
19,DD792,0.0019328243447314796
20,DD793,-0.011034569560742974
21,DD833,0.026504063911337545
22,DD834,-0.04652600126446562
23,DD835,-0.007799372685780048
24,DD836,0.0040686732580396835
25,DD794,-0.00663664167748473
26,DD795,-0.02839376015667606
27,DD796,-0.014777431764339835
28,DD797,0.03302952193221793
29,DD798,0.024113094579906222
30,DD799,0.027305551584516523
31,DD805,0.03432059342068292
32,DD806,-0.029292365114779548
33,DD807,0.034048954899995834
34,DD808,-0.0037298065569667804
35,DD809,0.0005163611089260001
36,DD810,-0.013235421623027918
37,DD811,-0.011610293938712442
38,DD812,0.04655756498041794
39,DD813,-0.0012326284796991271
40,DD814,0.02525856907056882
41,DD815,0.007928226718103311
42,DD816,0.021681533845577916
43,DD817,0.0315229916520902
44,DD818,-0.01178427684694074
45,DD819,0.012840851545284712
46,DD820,-0.0024621225435440108
47,DD821,-0.007429786043339067
48,DD822,0.008781823795037358
49,DD823,0.00754056663512437
50,DD824,0.009490189782163629
51,DD826,0.054012288804521066
52,DD12,0.004435706627834187
53,DD13,-0.009839715372686464
54,DD14,0.000939008906579445
55,DD15,-0.005316381031712871
56,DD16,-0.022794988409219216
57,DD17,0.01435600807940007
58,DD18,0.005170032589145392
59,DD20,-0.01479702802957158
60,DD21,0.04153000424468205
61,DD22,-0.00945311946530866
62,DD23,-0.006918506626475222
63,DD24,-0.006347241038636431
64,DD25,-0.0072710050737495036
65,DD26,-0.00530487950299028
66,DD27,-0.0033608628639492932
67,DD28,0.010544732670283385
68,DD30,0.001408971218024628
69,DD33,0.0035629785786263322
70,DD34,0.011406330126757278
71,DD35,-0.01655963864810242
72,DD36,0.02343400958601392
73,DD37,-0.0069185597246993295
74,DD38,-0.008561462425167355
75,DD39,0.004721175416685087
76,DD40,-0.004403566969746914
77,DD41,0.0003398312749597898
78,DD348,0.0032015546760957156
79,DD349,-0.002717863372100629
80,DD350,0.005142940606368584
81,DD351,0.009247517936298286
82,DD352,0.034729235468794833
83,DD353,0.013838835156386379
84,DD354,0.025221866739814344
85,DD355,0.011339931861259183
86,DD356,0.013647885517800353
87,DD357,-0.011232835532449957
88,DD358,-0.001063158061595731
89,DD359,-0.0255317327961819
90,DD360,-0.009743180343974029
91,DD361,-0.009589228813940781
92,DD362,-0.02755736615779939
93,DD363,0.0317667822404963
94,DD364,-0.025545002572132956
95,DD365,0.021814280219613364
96,DD366,-0.030313462628460852
97,DD367,-0.0021322909915954856
98,DD386,-0.000521315165016651
99,DD387,-0.004693782305441194
100,DD388,0.004468599977877669
101,DD389,0.0020059998882913776
102,DD390,-0.007114336530729132
103,DD391,0.011564824536369991
104,DD392,0.016190100326742052
105,DD393,0.011126482584316182
106,DD394,-0.0008400803741853277
107,DD395,-0.002278044412575694
108,DD674,-0.006998292286860313
109,DD676,-0.00538639817034701
110,DD677,-0.006990857961301491
111,DD678,0.014352103659811145
112,DD679,0.0020235505870157618
113,DD680,-0.0002264618609160475
114,DD682,0.00391354738459741
115,DD683,-0.0033393434332378343
116,DD684,0.0036235603855501
117,DD685,0.04582377640994656
118,DD686,-0.001616909026174904
119,DD688,0.007848257993132098
120,DD689,-0.009409319830114548
121,DD690,0.009279340360815434
122,DD691,-0.014843677204545588
123,DD692,-0.004650364195463682
124,DD693,-0.012276782945168862
125,DD694,0.004469009916404083
126,DD732,-0.011717198814645346
127,DD733,-0.020185674454594595
128,DD734,0.023264474156779135
129,DD735,-0.012970314493329345
130,DD736,0.02672077280400866
131,DD737,-0.008950641700098905
132,DD738,-0.009420739319084872
133,DD739,-0.0063395316386785725
134,DD740,0.01462807464226153
135,DD741,0.01667277725499914
136,DD742,0.0035310962096591746
137,DD743,-0.02409941590748596
138,DD1114,0.00025039182463860304
139,DD1115,0.005039113409737976
140,DD1116,0.02156331903899414
141,DD1117,-0.015586637709090785
142,DD1118,-0.0020881024283938253
143,DD1119,0.01702877971295652
144,DD744,0.0021182382054308695
145,DD745,0.004653468313225714
