principal_comps,coef
0,14.326226893092889
37,9.258596705495373
8,7.542677383312738
12,6.799303408087112
13,6.322886162690721
17,5.693984320910041
73,4.534700192103008
23,3.975668249969639
4,3.4337925635042033
46,3.0333887493477683
52,2.9866343039410523
16,2.9864193585007937
62,2.852860406465156
66,2.717654166745043
28,2.549824063403713
42,2.433014468540321
15,2.3888009890522537
9,2.2448508245549035
38,2.2097104238790384
22,2.093537269106349
47,2.0393208962169833
50,2.0099604869139407
3,1.9762962226436074
14,1.8425836531664943
87,1.8209077578475041
85,1.8030585364271305
180,1.773718075684224
83,1.6854864464651986
86,1.6839207610799372
53,1.6341498906619434
80,1.630383473889082
27,1.6186158356829201
51,1.5965646074781863
43,1.5507376712497611
1,1.5481739989453718
61,1.5378573142749792
57,1.4744181372880882
64,1.469605682187818
93,1.4656817682375631
113,1.4615908644256965
65,1.4495308810683354
49,1.4422715723186674
56,1.4372654353330918
169,1.4189530213614607
32,1.4168583190866544
164,1.416556694048416
74,1.408368079946818
34,1.3932023655032184
35,1.3896633829179161
195,1.3816825451440549
26,1.3759724452559938
71,1.3747664778976882
30,1.369907555589307
170,1.3683181634982828
44,1.3670491412494317
78,1.362077313913453
104,1.3569162568368602
154,1.3445287268358752
11,1.322155021007849
281,1.3189689212090263
77,1.3136208041225184
209,1.2730987603183015
184,1.2565776746370898
232,1.2520908433647528
90,1.2495196105946953
19,1.2485998013201822
225,1.2404182091540383
161,1.2357407362094632
20,1.2334313234067167
221,1.2248219565222729
194,1.2168363107083766
21,1.2109904479115277
244,1.2082176803205251
107,1.2016351872896087
123,1.1932032498236076
144,1.1801079517514577
45,1.1782632134556648
140,1.1725060411135364
94,1.166842766777769
208,1.1653813349745168
110,1.1538218514816012
55,1.153295330858396
130,1.1522255763158404
91,1.1519508926114495
24,1.144919496467006
96,1.1395094585212178
135,1.1366898150764795
58,1.132097770675576
147,1.1253123939711922
198,1.1245852717998734
146,1.1174501623824606
40,1.1170757845894814
126,1.1165006260284147
81,1.1145979251575686
114,1.1112736844982534
152,1.0986579524033642
190,1.0941106782373813
117,1.0937244575245038
68,1.091711763419697
60,1.0889414486199822
82,1.0808454004958843
7,1.0801625717054282
197,1.0763808577386578
273,1.0685318667597927
243,1.06038540479311
31,1.0575377339711742
168,1.0539944010472564
149,1.0450539517235358
118,1.0427887784579892
69,1.0390084286190209
119,1.0301381524660829
148,1.026255622221547
18,1.0258825484035987
171,1.0256058833792967
258,1.0216727690256082
276,1.0205001413329324
79,1.0202717160800225
185,1.0169365874599388
