,score
mean_scl_Q4,0.6908694937112277
mean_RSES,0.41798193267894845
mean_scl_Q3,0.41045384826210624
mean_RSS_Q3,0.32483040959627124
income_father,0.3051079239653671
mean_RSS_Q1,0.29670424665106376
income_mother,0.2922706343757326
PREG_ID_2601,0.2804785969596454
mean_anger,0.27385141824335757
mean_SWLS_Q1,0.2699379324855716
edu_bin,0.2588265790275228
imm,0.25600347846074656
mean_scl_Q1,0.2525823200609558
mean_gse,0.24485751398077069
mean_SWLS_Q3,0.24361083321922877
ss_bin,0.24007259108011983
LTH_of_MD_agg,0.2142253699341222
