,score
mean_scl_Q3,3.5940635851047653
mean_scl_Q1,1.8214449915559408
ss_bin,1.5380517996906404
mean_SWLS_Q1,1.2991212259581886
mean_SWLS_Q3,1.2924859112644143
ALE_bin_Q3,1.1990641600180636
income_father,1.1057263977056109
imm,1.0947782322820885
mean_RSS_Q1,1.0634604593013173
mean_RSS_Q3,0.9904981265598869
mean_RSES,0.977320422320003
abuse_bin,0.8826489703988529
income_mother,0.8411971237829542
mean_anger,0.770719499215977
mean_gse,0.7687107133026136
LTH_of_MD_agg,0.7250254708181515
edu_bin,0.5919789304656526
