,features,coef
0,AA1151,0.022253391007140088
1,AA1298,0.023318393096183554
2,AA1454,-0.02041026410846105
3,AA1463,-0.028829554208080584
4,AA1467,0.01827398761483487
5,AA1469,0.0008594956626929747
6,AA1470,-0.0021011325964656537
7,AA1472,0.0008879503021614558
8,AA1473,0.020024293628883822
9,AA1474,0.005496729729891246
10,AA1477,0.0057845100803157285
11,AA1480,-0.0351336739118965
12,AA1481,-0.030892870575581745
13,AA1482,-0.011599356361408816
14,AA1483,-0.025673325887145767
15,AA1484,-0.021188253512756328
16,AA1550,0.019788502011777495
17,AA1553,0.012670765047598741
18,AA1554,0.03410934783888836
19,CC953,0.023117557118562924
20,CC957,0.010815868996740152
21,CC961,0.03910000865866611
22,CC962,-0.000931996204040525
23,CC1169,0.02805491358108851
24,CC1202,0.01684562700869976
25,CC1204,0.00954241053212107
26,CC1209,-0.006190550802095365
27,CC1250,0.03242782469856137
