,score
AA1472,75.08760043766567
AA1479,69.64432502688567
AA1483,48.42710826640094
AA1471,33.524388403748645
AA1481,27.014083772713114
AA1482,14.858414102245424
AA1150,10.883580743918435
CC1236,7.726789755897772
AA1480,7.139440707690411
AA1484,6.186792195150335
CC1167,5.4391174724867275
CC960,4.571295600975462
CC1170,4.537730828042987
AA1561,4.4386193272
AA161,4.265995129304339
AA1462,3.7426357136449795
CC964,3.5888759482311903
CC1171,3.4739108665949163
CC954,3.395807080642242
AA1464,3.2666828316099603
CC1168,2.7851999305657644
CC1073,2.3303879022
CC961,2.293823018854793
CC918,2.1793100040970885
CC968,2.1276769808268408
CC1072,1.97014770575
CC970,1.9517247461656566
CC962,1.9448069187562502
AA151,1.8653760357272728
CC959,1.8624626286888588
AA1552,1.8504762991943169
CC1270,1.833236643308128
CC966,1.7789464043040197
AA1454,1.7137343286314821
AA1151,1.6661365260203322
CC956,1.6178853875932435
AA1553,1.418553674740618
CC969,1.3688486453115492
CC965,1.3251104312857147
CC1161,1.3020880410297255
CC1071,1.2705935232583332
AA109,1.262544053603796
AA1468,1.2602346147646157
AA1149,1.2139911123534883
AA1565,1.0712502295000002
AA1564,1.07062531
AA1139,1.064039596623455
CC1237,1.0584468280545456
AA1470,1.03394614072716
CC951,1.026465149439182
AA132,0.9925694303562692
AA142,0.9851647742499998
AA1559,0.9848623658388885
CC1179,0.9797357649462127
CC1208,0.9768456403966966
AA146,0.9615832118321428
CC917,0.9273581432681567
AA1293,0.8999571519865383
AA1188,0.8889630720472363
AA148,0.8833257148
AA1152,0.8732586871905084
CC914,0.8517729227280052
AA1134,0.8478267624795407
CC1248,0.8407522943636696
CC1266,0.8329555175812943
AA133,0.827879877517969
AA1467,0.8088906269952231
CC952,0.7780751793888353
AA1549,0.7775190313264873
CC1169,0.7720463022031911
AA1138,0.7690138357748522
CC967,0.7554440491745038
AA1327,0.752704071273714
CC1157,0.7521435080383618
CC953,0.7498854740641471
AA1136,0.7450216051001032
AA137,0.740468019
AA1141,0.7381361992322918
CC957,0.7339953291486303
AA1135,0.7243294443920856
AA1183,0.7080350367631612
AA1133,0.7018755591916379
AA1297,0.6979496017719563
AA100,0.6948115843352983
CC1277,0.6853044223181667
AA140,0.68528168275625
CC949,0.671037897185762
CC1162,0.6685119212137671
AA126,0.6517315589
AA101,0.6481312927597245
CC1201,0.6419654243642107
CC946,0.6345739586080219
AA127,0.6269425844
AA160,0.6199976264893292
CC1260,0.6184196950112197
CC1243,0.6160154438262261
AA1453,0.6098959457019304
AA1298,0.6098613274783793
AA1302,0.6097764161882142
AA1300,0.6003725886929115
AA1325,0.6002017923814226
AA1147,0.5977120274164782
CC1276,0.596489698321492
AA1557,0.5960372824514435
CC1258,0.5819296823561847
CC921,0.5796679462403523
CC1195,0.5778975585994505
AA1476,0.5763316937463917
AA1304,0.573153819601938
AA1459,0.5720188090159997
CC1160,0.5711336634977543
AA98,0.5695255359368193
AA136,0.5688461841129032
CC948,0.5577153038539331
AA107,0.5569511771425272
AA1531,0.5563561359701925
AA1194,0.5548296167107813
AA130,0.5546097813729166
AA115,0.5513067059088986
AA120,0.550746947170874
AA1326,0.546804745850416
AA106,0.5448296605806895
CC1235,0.540401630962133
AA1318,0.5396332545618419
AA1301,0.5386919199936536
AA1190,0.5376894800295279
AA1126,0.5355974966369292
AA1296,0.5338812153079138
CC1263,0.5330516516743542
AA152,0.5326884801237806
AA1142,0.5319682109922219
AA1547,0.5264649434187774
AA96,0.5240636066026827
CC928,0.5219177842244569
AA1466,0.5210044165324604
AA118,0.518996047776037
AA1569,0.5182750045815715
CC944,0.5165472159201074
AA86,0.5147384756609056
CC1273,0.5130382583200871
AA1473,0.5122958285265686
AA1295,0.5109001097590601
AA1562,0.510041857
AA1182,0.5063730332193636
AA1527,0.5050484750686987
AA103,0.5037561573068333
CC1206,0.5028903918001032
AA1193,0.5024577106424545
CC1158,0.49749043354943745
AA1192,0.49734075978834946
AA119,0.49687750373768963
AA1132,0.4962266139679386
AA1160,0.49531728999301416
AA1294,0.49384052011175006
CC1241,0.49272728281852424
CC927,0.4899730117349104
AA97,0.48990782194390803
AA1465,0.4893357947049415
AA1124,0.4889365108884022
AA1579,0.4883916802577183
AA1162,0.4881148792238171
CC1240,0.48637750072949326
CC1156,0.4857339390348782
AA139,0.48491744830666667
AA1529,0.4848902675723862
AA1469,0.4835200504252821
CC1176,0.4826555377514127
CC920,0.4811738179889429
AA158,0.47975111762894207
CC924,0.47825672752536863
CC1165,0.477899691300129
AA108,0.47787928997420914
AA1486,0.47629936943555934
AA124,0.47617659405348844
CC1172,0.47213960867508964
CC1214,0.47165306147341035
CC1159,0.471118907855012
CC923,0.4698423033816386
CC1173,0.46924376190810163
AA1184,0.4682613129445137
AA110,0.46805478158460084
AA88,0.4676381251779088
AA114,0.46732831630873833
AA159,0.46593804860125215
AA1537,0.46570358912647997
AA104,0.4653857249035458
CC1224,0.4647572431751693
CC1226,0.4644790537199889
AA1322,0.46447386945334246
CC1227,0.46443309135471916
AA1323,0.464328671297297
CC1200,0.4608377711966245
AA1309,0.4607308891501164
AA1478,0.4604401747970833
CC929,0.45997123056229217
AA1161,0.45902679808790336
CC1202,0.4588574309727773
CC1231,0.4585724864268748
AA121,0.45847046461222246
CC1207,0.4578532595407273
AA1573,0.4578149170290563
AA1563,0.45638418910188683
AA1538,0.4556628040090964
CC943,0.45525229074401774
CC1257,0.4541316063718694
CC1067,0.45404424042857144
AA1551,0.4536561878954998
CC909,0.45325131543035607
CC1199,0.452237170791875
CC1230,0.45184249463269344
AA1541,0.45130025195107776
CC1163,0.45030148119538166
AA1567,0.4498620075629191
AA1175,0.4495868002743997
AA1320,0.4495567607419638
AA1554,0.4492949387140358
CC1254,0.4492225166520494
AA99,0.4486662787419848
CC1175,0.4476431046163789
AA134,0.4471043157519118
AA1173,0.4464637477251785
AA1166,0.4446438904599506
AA1176,0.4442850597371779
AA1137,0.4442433453
AA1452,0.4440655368558814
CC1228,0.44397862479999184
AA1533,0.44369750983566003
AA112,0.4433063943240986
CC1181,0.4424159412194585
AA1571,0.44207977410424687
AA1539,0.4413792725893445
CC912,0.4412680963387455
AA1129,0.4411475049660866
AA157,0.4411233960542243
AA1123,0.4410258458987317
CC915,0.44089521997605596
AA1534,0.44064321967547687
CC1209,0.44056457926886516
CC1198,0.44030055028289383
AA1545,0.439806093721901
AA1535,0.43971456383385177
CC1074,0.43969419707310764
CC911,0.4396934967724505
AA1546,0.4396207177026585
CC910,0.439538027819721
CC1178,0.43948697712332335
AA1303,0.4388451859230547
AA102,0.43860838549407705
CC1210,0.4384203072569443
CC1197,0.4378541372617483
AA116,0.4378367981528384
AA113,0.4366566569358035
CC1218,0.4362576042271662
AA1558,0.4359948871135592
AA1181,0.43572084702082886
AA1550,0.4351498742400098
AA1174,0.43512985392091363
AA1570,0.43497359696552296
CC1177,0.43486840595531756
CC1239,0.4339518313039606
AA95,0.4337488139579076
CC1247,0.4336681005826387
AA1540,0.4333662711278138
CC1205,0.43265807350267993
CC1192,0.4302147124342637
CC942,0.43004801277123655
AA1328,0.4299314789906929
CC1194,0.42926225476228064
CC1211,0.42925245107988735
CC926,0.42905164506123133
AA1317,0.4290463714854679
AA1572,0.4289794057959887
AA1177,0.42809237175277753
AA1458,0.42785400686926806
AA1566,0.4276069212713421
CC1203,0.4270888660442177
CC1225,0.4270104291845686
AA162,0.42692582972311804
CC1180,0.42675654061913554
AA1316,0.42673750400736404
CC1261,0.42626411809885717
AA1172,0.4262627837199217
AA87,0.42622443857193143
AA163,0.42522547700265634
