features,coef
AA85,-0.0
AA86,-0.0
AA87,-0.03065022447964811
AA88,0.011856777072028764
AA89,0.011471172743318632
AA93,0.0
AA94,-0.0
AA95,-0.0
AA96,-0.013444962356803878
AA97,-0.0
AA98,0.0
AA100,0.0
AA101,0.003603797829763092
AA102,-0.0
AA103,-0.0002357208161925963
AA104,0.008644918678345315
AA106,0.0
AA107,-0.0
AA108,0.0029185079925195326
AA109,-0.0
AA110,0.010948577113136251
AA112,-0.0
AA113,-0.0
AA114,0.0
AA115,-0.0
AA116,5.0722163318892386e-05
AA118,-0.0
AA119,-0.0
AA120,-0.0
AA121,0.0
AA122,0.0
AA124,-0.0
AA125,-0.0
AA126,-0.0
AA127,0.0
AA128,-0.0
AA130,-0.0
AA131,-0.0
AA132,-0.0
AA133,0.0
AA134,0.0010209697961051833
AA136,-0.0
AA137,0.0
AA138,0.005314886496578755
AA139,0.0
AA140,0.0
AA142,-0.0
AA143,-0.0
AA144,-0.0
AA145,0.0010568947426234957
AA146,0.0
AA147,-0.0
AA148,0.0
AA149,0.0
AA150,0.0004019836443843249
AA151,0.0
AA152,-0.0
AA153,-0.0
AA154,0.0
AA155,0.0
AA156,-0.0
AA157,0.007024677219605736
AA158,-0.0
AA159,0.0
AA160,0.02686435348761687
AA161,-0.0
AA162,-0.0
AA1123,-0.0
AA1124,0.0
AA1125,-0.0
AA1126,-0.0013712495439912402
AA1127,0.003862810680141345
AA1132,-0.0
AA1133,-0.002462919350555436
AA1134,-0.0
AA1135,0.0
AA1136,-0.0
AA1137,0.0
AA1138,0.012721179881187717
AA1139,-0.008106712765500262
AA1140,-0.00785486532325774
AA1141,0.005481927646570973
AA1142,0.0
AA1143,4.846985806418432e-05
AA1144,0.0
AA1145,-0.0
AA1146,0.0
AA1147,0.0025987509759553486
AA1148,0.0
AA1149,0.02311889249332452
AA1150,0.007301597966050359
AA1151,0.014328683802815642
AA1152,0.00028655216896915554
AA1153,-0.0
AA1157,0.0
AA1159,-0.0
AA1160,-0.00292291165990951
AA1166,0.0
AA1167,-0.007625760141561884
AA1172,0.0014788400251078773
AA1173,0.0
AA1174,-0.010259066763560247
AA1175,-0.0006081181888908399
AA1176,-0.006130059131818415
AA1177,0.0
AA1178,-0.0
AA1179,-0.0
AA1180,-0.0
AA1181,0.0
AA1182,0.012729097042341205
AA1183,0.00913455201351882
AA1184,-0.0005824232871822128
AA1185,0.0026412235113109283
AA1186,0.0
AA1187,0.00375796877233869
AA1188,-0.0
AA1189,0.0010484925930454576
AA1190,-0.012184265820946815
AA1191,0.0042065546614839635
AA1192,0.01017899696440265
AA1193,0.0029667359104701306
AA1194,0.0
AA1293,-0.0
AA1294,-0.010444920793379619
AA1295,0.0
AA1296,-0.0
AA1297,-0.0
AA1298,0.0
AA1300,-0.0017112996537669174
AA1301,0.0
AA1302,0.0
AA1303,0.0
AA1304,0.0005016747019392395
AA1305,-0.0
AA1309,0.0015943389850384725
AA1315,0.0031720591225222554
AA1316,0.0
AA1317,-0.005649317901961208
AA1318,-0.0
AA1319,0.0015120532739228262
AA1320,-0.0
AA1321,0.00045955963188108403
AA1322,-0.002294825536876205
AA1323,-0.0
AA1324,0.0
AA1325,-0.0
AA1326,0.008791164627167712
AA1327,-0.0
AA1328,-0.0
AA1452,-0.007419480078959217
AA1453,0.012070625511980121
AA1454,-0.0
AA1455,0.0
AA1456,0.00029980369119149143
AA1457,-0.0
AA1458,0.0
AA1459,0.0
AA1460,-0.0
AA1461,-0.0
AA1462,-0.0010104607928522107
AA1463,-0.03550944743591104
AA1464,0.006779244984171709
AA1465,-0.0
AA1466,0.017995683716918568
AA1467,-0.0028087997095220555
AA1468,0.0
AA1469,0.004643981043831502
AA1470,0.009070581677396902
AA1471,0.029560181611728138
AA1472,-0.0
AA1473,0.0018995973329663746
AA1474,-0.0
AA1475,-0.0
AA1476,-0.0
AA1477,-0.0004570426639463347
AA1478,-0.006967746307964473
