,features,coef
0,AA85,-0.005298801860985348
1,AA86,0.0037039479924752088
2,AA87,-0.019016963081014023
3,AA88,-0.012762904295634116
4,AA89,-0.0026922018068086424
5,AA93,0.0006132187905738846
6,AA94,-0.003672438246120676
7,AA95,0.0012620899727399776
8,AA96,-0.008729926002644326
9,AA97,-0.0016694356081217929
10,AA98,-0.0003905052778391941
11,AA100,0.01579105313877116
12,AA101,-0.023459953542847207
13,AA102,0.011667368728130725
14,AA103,-0.003095033987737806
15,AA104,0.011580726874935613
16,AA106,0.015140597407491478
17,AA107,-0.017486229239910382
18,AA108,-0.0005150457138088111
19,AA109,0.0037423669338509076
20,AA110,-0.020339946999418285
21,AA112,-0.01190569845539641
22,AA113,0.0016447267058971333
23,AA114,0.0047449686582752264
24,AA115,0.0006569265792221619
25,AA116,0.010124850426163384
26,AA118,0.004809007822586563
27,AA119,0.009887196486912516
28,AA120,-0.02024774026380933
29,AA121,-0.010610764838147808
30,AA122,0.00536711527127906
31,AA124,-0.013319078076185067
32,AA125,0.0024807051941520743
33,AA126,0.006360730038770129
34,AA127,0.0011652645449365241
35,AA128,0.009103845377676516
36,AA130,-0.0016320862233459511
37,AA131,0.005468635159434402
38,AA132,0.0023125836112256356
39,AA133,0.0023729369782902665
40,AA134,-0.0004150369664041591
41,AA136,-0.011782829207846306
42,AA137,0.003464373448246021
43,AA138,0.006295233657647708
44,AA139,-0.0012783834450501887
45,AA140,0.0021693265794606766
46,AA142,-0.0012381090760954852
47,AA143,0.007244882745491559
48,AA144,-0.0031788684724800556
49,AA145,-0.002312593409641888
50,AA146,0.002371714012427988
51,AA147,-0.004212339882998777
52,AA148,-0.003089437983185825
53,AA149,0.005729088165741197
54,AA150,-0.000837393601913762
55,AA151,0.002084341413185601
56,AA152,0.011093821056473925
57,AA153,-0.0005678935888666931
58,AA154,0.007277466121177296
59,AA155,-0.0022294401193886622
60,AA156,-0.018489610905735594
61,AA157,-0.00560799479659427
62,AA158,0.021870203166013593
63,AA159,0.002666605932130596
64,AA160,0.017151864163860227
65,AA161,-0.0023006022518458668
66,AA162,-0.004046589033627328
67,AA1123,0.0013723651803215576
68,AA1124,0.005663486428222191
69,AA1125,-0.004363188761226262
70,AA1126,0.003265019960071495
71,AA1127,0.007828389517309147
72,AA1132,-0.005816397146288373
73,AA1133,0.008200361511978164
74,AA1134,0.003198884881830551
75,AA1135,-0.00042948391605973136
76,AA1136,-0.005099003680673103
77,AA1137,-0.01397329555773595
78,AA1138,-0.0030729799449977888
